bike_number,bike_model,accumulated_hours_past,total_trips_past
16120,CLASSIC,2.8773030555555557,12
16125,CLASSIC,1.8108633333333333,9
16128,CLASSIC,10.176804444444445,36
16143,CLASSIC,10.340741388888889,38
16148,CLASSIC,7.117779444444444,22
16151,CLASSIC,2.4215555555555555,7
16156,CLASSIC,9.876894444444444,37
16174,CLASSIC,4.125104444444444,16
16178,CLASSIC,5.623677777777778,15
16179,CLASSIC,14.193771111111111,56
16182,CLASSIC,3.1458475,11
16184,CLASSIC,13.736355833333333,45
16206,CLASSIC,13.126676944444444,22
16209,CLASSIC,5.179701944444444,24
16227,CLASSIC,10.0068825,31
16234,CLASSIC,3.7704908333333336,18
16261,CLASSIC,8.790983055555555,36
16267,CLASSIC,5.346041666666666,27
16272,CLASSIC,4.724695,11
16278,CLASSIC,1.0003197222222222,7
16303,CLASSIC,10.226523888888888,39
16326,CLASSIC,6.6007452777777775,30
16327,CLASSIC,4.899334722222222,20
16340,CLASSIC,8.36371861111111,46
16345,CLASSIC,2.8670419444444444,23
16353,CLASSIC,2.950434722222222,14
16358,CLASSIC,3.970295833333333,19
16380,CLASSIC,7.799766111111111,33
16386,CLASSIC,6.950286388888889,33
16391,CLASSIC,6.413889166666666,24
16394,CLASSIC,5.5645927777777775,22
16395,CLASSIC,10.992893333333333,36
16399,CLASSIC,8.60358361111111,34
16403,CLASSIC,6.809720277777778,32
16407,CLASSIC,5.659908888888889,24
16417,CLASSIC,2.653978611111111,11
16433,CLASSIC,5.099033611111111,25
16436,CLASSIC,6.380502777777778,22
16458,CLASSIC,7.682462222222222,29
16463,CLASSIC,3.9299850000000003,4
16469,CLASSIC,5.519607777777778,21
16477,CLASSIC,1.945878611111111,7
16479,CLASSIC,1.1808616666666667,4
16492,CLASSIC,1.6098419444444445,3
16498,CLASSIC,5.327139166666667,27
16511,CLASSIC,10.753369444444445,44
16512,CLASSIC,7.781901111111111,30
16515,CLASSIC,6.226129444444444,28
16519,CLASSIC,6.628689166666667,21
16529,CLASSIC,2.3684825,9
16543,CLASSIC,9.863108055555555,40
16544,CLASSIC,16.519402499999998,73
16545,CLASSIC,5.208368055555556,20
16547,CLASSIC,8.160651666666666,36
16553,CLASSIC,1.2857369444444444,4
16580,CLASSIC,16.213471666666667,63
16590,CLASSIC,2.865943611111111,13
16591,CLASSIC,4.676597777777778,24
16604,CLASSIC,3.4199763888888888,11
16607,CLASSIC,5.602442222222222,26
16616,CLASSIC,4.1111088888888885,14
16622,CLASSIC,3.9119325000000003,14
16628,CLASSIC,14.430040833333333,48
16632,CLASSIC,6.969804722222222,35
16650,CLASSIC,1.7217911111111113,9
16660,CLASSIC,13.218855277777777,59
16663,CLASSIC,7.143158333333333,28
16667,CLASSIC,0.7265197222222223,4
16671,CLASSIC,4.544339444444445,22
16689,CLASSIC,5.1088177777777775,20
16694,CLASSIC,13.558874444444445,53
16702,CLASSIC,7.468289444444444,26
16749,CLASSIC,11.869661944444445,43
16757,CLASSIC,11.82,45
